Food Code,Food Name,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg)
11-001,Arrowroot,12.2,0.07,0.4,0.1,94.0,355,1515,94.0,,Tr,Tr,,0.0,Tr,0.0,0.0,,0.1,,,,,,,,,,,,,,,,,,,,,,
11-002,"Barley, pearl, raw",10.6,1.35,7.9,1.7,83.6,360,1535,83.6,,Tr,Tr,,Tr,Tr,Tr,0.0,,N,,,,N,0.70,N,0.07,N,0.14,,,N,0.77,,,N,0.29,0.00,0.00,0.00,0.00,
11-003,"Barley, pearl, boiled",69.6,0.46,2.7,0.6,27.6,120,510,27.6,,Tr,Tr,,Tr,Tr,Tr,0.0,,N,,,,,,,,,,,,,,,,,,,,,,
11-006,"Buckwheat, groats",13.2,1.30,8.1,1.5,84.9,364,1522,84.5,,0.4,Tr,,Tr,Tr,Tr,0.0,,2.1,,,,,,,,,,,,,,,,,,,,,,
11-011,"Cornmeal, sifted",12.2,1.50,9.4,3.3,73.1,368,1540,N,,N,N,,N,N,N,0.0,,2.2,,,,,,,,,,,,,,,,,,,,,,
11-016,"Flour, millet, foxtail",13.3,1.00,5.8,1.7,75.4,354,1481,N,,N,N,,N,N,N,0.0,,N,,,,,,,,,,,,,,,,,,,,,,
11-021,"Flour, rice",11.8,1.08,6.4,0.8,80.1,366,1531,80.1,,N,N,,N,N,N,0.0,,2.0,,,,,,,,,,,,,,,,,,,,,,
11-023,"Sago, raw",12.6,0.04,0.2,0.2,94.0,355,1515,94.0,,Tr,Tr,,0.0,0.0,0.0,0.0,0.0,0.5,,,0.10,,,,,,,,0.10,,,,Tr,,,,,,0.00,0.0
11-027,"Tapioca, raw",12.2,0.07,0.4,0.1,95.0,359,1531,95.0,,Tr,Tr,,0.0,Tr,0.0,0.0,0.0,0.4,,,Tr,,,,,,,,Tr,,,,Tr,,,,,,0.00,0.0
11-1000,"Stuffing, sage and onion, homemade",49.0,0.94,5.6,13.3,29.4,253,1060,22.8,1.1,5.4,1.5,0.0,1.3,1.4,1.2,Tr,,N,N,,4.15,,,,,,,,5.65,,,,2.08,,,,,,0.02,50.0
11-1001,"Bread, white, toasted",25.1,1.71,9.7,2.0,56.2,267,1137,52.1,,4.1,Tr,,0.2,Tr,3.9,0.0,0.0,2.3,3.0,,0.35,,,,,,,,0.39,,,,0.63,,,,,,0.01,0.0
11-1003,"Bread, white, 'with added fibre'",39.2,1.50,8.7,2.2,45.1,224,951,41.6,,3.5,0.1,,0.3,Tr,3.0,0.0,0.0,3.5,4.8,,0.42,,,,,,,,0.56,,,,0.88,,,,,,Tr,0.0
11-1004,"Bread, white, 'with added fibre', toasted",27.6,1.94,10.4,2.6,53.7,266,1132,49.5,,4.2,0.1,,0.4,Tr,3.6,0.0,0.0,4.2,5.7,,0.50,,,,,,,,0.67,,,,1.05,,,,,,Tr,0.0
11-1005,"Cake, fruit, rich, homemade",17.3,0.66,4.0,11.1,61.5,349,1474,11.8,,49.6,17.3,,15.4,13.7,3.1,0.1,0.4,1.5,N,,6.48,,,,,,,,2.90,,,,0.54,,,,,,0.34,66.1
11-1006,"Bread rolls, white, soft",35.6,1.60,9.3,2.6,51.5,254,1078,48.8,,2.6,0.2,,0.2,Tr,2.2,0.0,0.0,2.0,2.6,29.40,0.62,,,,,28.51,0.59,,0.59,39.24,0.82,39.99,0.82,,,,,Tr,Tr,0.0
11-1007,"Pie, fruit, one crust, homemade",59.1,0.36,2.1,9.1,26.7,190,800,11.0,,15.7,1.4,,1.6,12.6,0.1,Tr,0.0,1.7,N,,3.30,,,,,,,,3.80,,,,1.41,,,,,,0.01,0.6
11-1008,"Pie, fruit, pastry top and bottom, homemade",48.7,0.53,3.1,15.1,30.4,262,1099,18.5,,12.0,1.1,,1.2,9.4,0.2,Tr,,1.7,N,,5.61,,,,,,,,6.36,,,,2.34,,,,,,0.01,1.0
11-1009,"Currant buns, retail",27.9,1.40,8.0,5.6,52.6,280,1185,36.6,,16.0,8.2,,7.0,Tr,0.9,Tr,0.0,2.2,2.9,36.60,1.86,,,,,38.84,1.97,40.08,1.97,22.04,1.12,23.00,1.20,,,,,Tr,Tr,1.5
11-1010,"Pastry, wholemeal, uncooked, homemade",20.2,1.22,7.2,25.9,42.3,421,1759,41.3,,1.0,Tr,0.0,Tr,0.6,0.2,0.2,0.0,5.3,6.1,,15.86,,,,,,,,6.42,,,,1.37,,,,,,0.86,64.2
11-1011,"Pizza, fish topped, takeaway",50.1,2.13,13.3,7.5,28.0,226,952,26.2,Tr,2.0,0.3,,0.4,Tr,1.1,0.1,0.0,N,N,,3.24,14.87,1.13,2.53,0.19,29.88,2.27,,2.47,15.65,1.19,,1.32,42.60,3.24,1.68,0.13,0.93,0.09,25.4
11-1012,"Pizza, chicken topped, retail",50.8,2.15,13.4,8.3,31.3,246,1036,29.2,Tr,2.1,0.5,,0.7,Tr,1.0,Tr,0.0,N,2.7,,N,,,,,,,,N,,,,N,,,,,,N,N
11-1013,"Pizza, ham and pineapple, retail",43.3,2.16,13.5,8.6,34.4,260,1098,31.3,Tr,3.1,0.7,,0.8,Tr,1.4,0.2,0.0,N,2.5,,N,,,,,,,,N,,,,N,,,,,,N,N
11-1014,"Pizza, vegetarian, retail and takeaway",51.1,1.72,10.8,6.9,29.6,216,913,26.9,0.3,2.4,0.6,,0.7,Tr,1.0,0.2,0.0,1.9,3.1,,N,,,,,,,,N,,,,N,,,,,,N,N
11-1015,"Pizza, meat topped, retail and takeaway",44.9,2.11,13.2,10.3,29.1,255,1071,27.3,Tr,1.8,0.4,,0.5,Tr,0.9,Tr,0.0,N,2.0,,3.95,14.96,1.27,3.22,0.27,41.67,3.55,,3.70,16.57,1.41,,1.54,46.48,3.95,1.75,0.15,N,N,19.3
11-1016,"Pizza base, raw",30.1,1.37,7.8,4.8,57.5,290,1229,54.1,Tr,3.4,0.3,,0.3,Tr,2.8,Tr,0.0,2.1,2.5,,N,,,,,,,,N,,,,N,,,,,,N,N
11-1017,"Pastry, shortcrust, uncooked, homemade",20.5,0.99,5.7,25.5,48.8,435,1823,48.3,,0.5,Tr,,Tr,0.3,0.1,0.2,0.0,2.0,2.4,,15.93,,,,,,,,6.43,,,,1.00,,,,,,0.86,64.1
11-1019,"Breakfast cereal, multigrain hoops, fortified",N,1.26,7.9,3.8,80.7,368,1566,58.3,,22.4,N,,N,N,N,0.0,0.0,N,5.7,,0.70,,,,,,,,N,,,,N,,,,,,Tr,0.0
11-1020,"Crumble, fruit, retail",49.1,0.38,2.4,8.3,36.0,219,924,14.0,0.2,21.8,4.1,0.0,4.2,11.3,2.2,Tr,0.0,1.3,2.3,50.00,3.97,,,,,39.20,3.06,39.30,3.07,8.80,0.70,9.50,0.75,,,,,0.10,0.01,13.2
11-1021,"Pudding, sponge, canned",35.3,0.54,3.1,9.1,45.4,265,1116,19.6,,25.8,4.6,,3.8,14.9,2.0,0.6,0.0,0.8,N,57.24,4.98,5.24,0.46,0.49,0.04,28.12,2.45,34.14,2.97,4.45,0.39,5.98,0.52,27.26,4.98,1.54,0.13,N,N,32.0
11-1022,"Pudding, Christmas, retail",29.1,0.53,3.0,6.9,56.3,285,1207,10.1,,46.2,20.3,,20.8,3.5,1.5,0.1,0.0,N,4.0,,3.57,,,,,,,,2.40,,,,0.35,,,,,,Tr,36.0
11-1023,"Prawn crackers, takeaway",2.8,0.05,0.3,39.0,58.2,570,2379,56.0,0.0,2.2,Tr,,Tr,1.9,0.3,0.0,0.0,1.2,0.9,9.75,3.64,21.12,7.87,8.41,3.14,59.94,22.35,60.11,22.41,29.46,10.98,30.14,11.03,9.70,3.62,0.05,0.00,0.31,0.12,0.3
11-1024,"Pie, apple, one crust, homemade",58.3,0.32,1.8,9.2,29.0,198,835,11.0,,18.0,1.4,,3.8,12.7,0.1,Tr,0.0,1.5,2.1,,3.38,,,,,,,,3.81,,,,1.47,,,,,,0.01,0.6
11-1025,"Pie, apple, pastry top and bottom, homemade",48.1,0.50,2.9,15.2,32.1,268,1125,18.5,,13.6,1.1,,2.8,9.4,0.2,Tr,0.0,1.6,2.4,,5.63,,,,,,,,6.37,,,,2.38,,,,,,0.01,1.0
11-1026,"Pie, apple, wholemeal, one crust, homemade",57.9,0.38,2.3,7.7,29.9,190,801,11.9,,18.0,1.3,,3.8,12.8,0.1,0.0,0.0,2.6,2.8,,4.60,,,,,,,,1.87,,,,0.48,,,,,,0.25,18.5
11-1027,"Pie, apple, wholemeal, pastry top and bottom, homemade",47.4,0.61,3.6,12.7,33.6,254,1068,19.9,,13.7,1.0,,2.8,9.7,0.1,0.1,0.0,3.3,3.7,,7.68,,,,,,,,3.11,,,,0.72,,,,,,0.42,31.0
