Food Code,Food Name,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg)
13-145,Ackee,76.7,0.46,2.9,15.2,0.8,151.0,625.0,0.0,0.0,0.8,0.1,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.52,0.6,0.07,58.5,7.11,0.0,0.0,4.9,0.6,0.0,0.0,36.5,4.44,0.1,0.01,0.0,0.0,0.0
13-146,Agar,46.95,0.145,0.75,0.65,0.0,9.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.05,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13-148,Alfalfa sprouts,93.4,0.64,4.0,0.7,0.4,24.0,100.0,0.0,0.0,0.3,0.1,0.0,0.2,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13-801,Allspice,8.5,0.98,6.1,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14-870,Almonds,1.05,1.0175,5.275,13.95,1.725,487.5,2016.75,0.675,0.0,1.05,0.0,0.0,0.0,1.05,0.0,0.0,0.0,1.85,0.0,0.0,1.1075,4.775,2.5475,0.125,0.0675,17.9,9.5475,0.0,9.5475,4.9,2.615,0.0,2.615,2.075,1.1075,0.0,0.0,0.0,0.0,0.0
13-149,Amaranth leaves,89.65,0.52,3.25,0.3,0.3,17.0,71.0,0.1,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14-001,Amla,81.8,0.08,0.5,0.1,13.7,58.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16-448,Anchovies,46.4,4.03,25.2,10.0,0.0,191.0,798.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.1,1.6,0.0,0.0,0.0,0.0,0.0,0.0,53.0,5.3,0.0,0.0,18.4,1.8,0.0,0.0,0.0,0.0,0.5,0.0,63.0
13-802,Anise seeds,9.5,2.82,17.6,15.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14-331,Apple juice,86.6,0.02,0.1,0.0,9.7,37.0,157.0,0.0,0.0,9.7,2.4,0.0,5.5,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14-272,Apple juice concentrate,31.4,0.08,0.5,0.6,57.6,223.0,952.0,0.0,0.0,57.6,13.2,0.0,33.9,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17-851,Apple sauce,77.5,0.04,0.3,0.2,20.2,79.0,336.0,0.0,0.0,20.2,1.6,0.0,4.8,13.7,0.0,0.0,0.0,1.3,1.4,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14-016,Apples,72.9727,0.0655,0.4364,0.3545,16.3636,66.3636,282.3636,0.0,0.0,16.3545,2.7455,0.0,8.3636,5.2636,0.0,0.0,0.0,2.0545,1.4,0.0,0.0727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0291,0.0,0.0,0.0,0.1536,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14-025,Apricots,62.79,0.21,1.31,0.19,14.44,76.9,328.5,0.0,0.0,14.44,4.88,0.0,2.65,6.89,0.0,0.0,0.0,2.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13-151,Arrowhead,73.05,0.735,4.6,0.3,19.65,99.0,416.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-001,Arrowroot,12.2,0.07,0.4,0.1,94.0,355.0,1515.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13-153,Artichoke,71.525,0.3425,2.125,0.15,4.3,21.25,99.0,0.0,0.0,1.2,0.5,0.0,0.3,0.375,0.0,0.0,0.0,0.875,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13-803,Asafoetida,16.0,0.64,4.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13-157,Asparagus,22.85,0.1175,0.725,0.15,0.5,26.5,111.5,0.025,0.0,0.475,0.175,0.0,0.275,0.025,0.0,0.0,0.0,0.425,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13-161,Aubergine,56.6111,0.2433,1.4889,12.5,3.7778,140.6667,586.6667,1.4333,0.0111,2.3,1.1778,0.0,0.9889,0.1111,0.0,0.0,0.0,1.6778,0.0,0.0,3.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.31,0.0,0.0,0.0,3.7378,0.0,0.0,0.0,0.0,0.0,0.0233,9.6556
